Unnamed: 0,Unnamed: 0.1,ALAND,AWATER,BLKGRPCE,COUNTYFP,E11B19001e1,E11B19001e13,E11B19001e2,E11B19013e1,E11B19025e1,E11B19055e2,E11B19059e2,E12B19113e1,E12B20002e1,E12B20002e2,E12B20002e3,E13B19101e1,FUNCSTAT,GEOID,GEOID_Data,INTPTLAT,INTPTLON,MTFCC,NAMELSAD,OBJECTID,STATEFP,Shape__Area,Shape__Length,TRACTCE,H07B25003e2,H07B25003e3,H18B25081e1,H18B25081e2,H18B25081e4,H18B25081e5,H18B25081e6,H18B25081e7,H18B25081e8,H18B25082e1,H18B25082e2,H18B25082e3,D01B01001e1,D01B01001e2,D01B01001e26,D02B01002Ae1,D02B01002Be1,D02B01002Ce1,D02B01002De1,D02B01002Ee1,D02B01002Fe1,D02B01002Ge1,D02B01002He1,D02B01002Ie1,D02B01002e1,D02B01002e2,D02B01002e3,D03B02001e1,D03B02001e2,D03B02001e3,D03B02001e4,D03B02001e5,D03B02001e6,D03B02001e7,D03B02001e8,D04B02001e1,S01B11001e1,S02B09019e2,S07B15003e22,S08B21001e1,S08B21001e2,S19B28008e10,S19B28008e2,S19B28008e4,S19B28008e9,Voter_Turnout,D01B01001e7-10,D01B01001e11-14,D01B01001e15-19,D01B01001e20-22,D01B01001e23-25,D01B01001e31-34,D01B01001e35-38,D01B01001e39-43,D01B01001e44-46,D01B01001e47-49,S07B15003e15-17,S07B15003e18-21,S07B15003e23-25,E11B19001e3-5,E11B19001e6-10,E11B19001e11-12,E11B19001e14-15,E11B19001e16-17
11,11,132398,0,1,59,328,4,0,57976.0,26477300,64,18,107386.0,50182.0,49417.0,50365.0,173,S,60590632021,15000US060590632021,33.6468334,-117.91088490000001,G5030,Block Group 1,965,6,191546.61328125,2012.4349144978198,63202,116,212,116,76,20,0,0,56,40,68085000.0,58500000.0,9585000.0,834,286,548,32.0,,,29.1,,29.0,,41.1,25.6,31.0,40.1,25.6,834,597,0,0,44,0,179,14,834,328,834,98,605,26,19,815,532,283,81.7,0.0,189.0,80.0,8.0,9.0,25.0,199.0,47.0,37.0,11.0,112.0,153.0,131.0,19.0,104.0,58.0,88.0,55.0
12,12,331171,0,2,59,392,100,0,92356.0,69323200,84,30,134792.0,55046.0,80649.0,50761.0,219,S,60590632022,15000US060590632022,33.6424291,-117.91182590000001,G5030,Block Group 2,966,6,479076.22265625,2947.49050366808,63202,210,182,210,160,0,8,0,152,50,171290000.0,132350000.0,38940000.0,934,537,397,48.0,,,17.4,,,50.1,48.5,35.2,48.0,48.1,45.9,934,783,0,0,27,0,12,112,934,392,930,197,815,68,54,876,816,60,87.0,29.0,118.0,215.0,70.0,26.0,14.0,137.0,149.0,24.0,33.0,167.0,301.0,97.0,20.0,47.0,50.0,52.0,123.0
13,13,324028,0,3,59,342,26,0,158125.0,65424800,45,21,157563.0,61809.0,92566.0,60395.0,247,S,60590632023,15000US060590632023,33.6377321,-117.9050905,G5030,Block Group 3,967,6,468693.77734375,2903.5831534610197,63202,283,59,283,181,0,36,0,145,102,385130000.0,203780000.0,181350000.0,980,478,502,37.0,,,,,,17.8,37.0,,36.6,41.4,30.3,980,900,0,0,19,10,0,51,980,342,968,335,757,29,0,968,968,0,86.8,33.0,144.0,148.0,33.0,22.0,27.0,215.0,116.0,7.0,22.0,32.0,218.0,122.0,50.0,16.0,7.0,56.0,187.0
14,14,203597,0,4,59,392,37,0,124135.0,55471700,98,22,127308.0,39324.0,48661.0,31364.0,222,S,60590632024,15000US060590632024,33.644219799999995,-117.9079689,G5030,Block Group 4,968,6,294537.91015625,2420.80879078101,63202,167,225,167,112,0,0,0,112,55,159914000.0,106200000.0,53714000.0,1019,592,427,33.7,,,59.1,,,,34.0,36.6,36.1,33.5,39.7,1019,848,26,0,63,0,62,20,1019,392,1008,277,885,15,50,958,948,10,81.7,68.0,302.0,137.0,24.0,27.0,29.0,99.0,93.0,19.0,87.0,100.0,233.0,66.0,59.0,31.0,31.0,88.0,146.0
15,15,330599,0,1,59,562,49,34,73235.0,52186300,54,11,70568.0,53690.0,54132.0,53569.0,163,S,60590633011,15000US060590633011,33.63937120000001,-117.91762140000002,G5030,Block Group 1,969,6,478214.859375,2896.0562952930395,63301,65,497,65,47,0,38,0,9,18,,,,1000,433,567,29.9,,,,,,,29.8,31.5,29.8,30.0,29.7,1000,897,14,0,13,0,43,33,1000,562,988,419,928,59,45,943,904,39,83.7,18.0,311.0,52.0,16.0,0.0,25.0,382.0,73.0,35.0,16.0,44.0,327.0,95.0,47.0,64.0,148.0,104.0,116.0
16,16,324236,0,2,59,484,58,12,93235.0,55226200,88,49,137578.0,75536.0,77159.0,61111.0,286,S,60590633012,15000US060590633012,33.6370234,-117.9142547,G5030,Block Group 2,970,6,468984.76953125,2905.83141063024,63301,150,334,150,96,0,11,0,85,54,143695000.0,103745000.0,39950000.0,1179,463,716,34.7,,,43.4,,,,34.8,15.6,34.9,38.5,32.3,1179,1093,9,12,35,0,11,19,1179,484,1094,368,859,48,15,1079,1027,44,83.7,0.0,211.0,115.0,35.0,14.0,18.0,241.0,146.0,36.0,43.0,68.0,218.0,132.0,77.0,73.0,44.0,87.0,133.0
17,17,380971,0,3,59,542,64,35,118500.0,91404700,55,30,135236.0,51299.0,68971.0,30137.0,385,S,60590633023,15000US060590633023,33.629290000000005,-117.9201115,G5030,Block Group 3,971,6,550948.453125,3281.49320609435,63302,234,308,234,162,8,43,0,111,72,243632000.0,172672000.0,70960000.0,1470,762,708,43.4,,,51.3,,,30.1,43.1,43.7,41.8,43.5,39.7,1470,1234,0,0,142,0,0,94,1470,542,1421,523,1092,85,0,1421,1421,0,76.7,30.0,235.0,284.0,42.0,9.0,27.0,142.0,267.0,19.0,37.0,126.0,193.0,183.0,13.0,43.0,80.0,146.0,161.0
18,18,323917,0,4,59,392,0,19,130000.0,50756200,43,19,140208.0,,69886.0,33382.0,280,S,60590633024,15000US060590633024,33.6293578,-117.91341240000001,G5030,Block Group 4,972,6,468439.7578125,2903.3030041559996,63302,305,87,305,250,0,73,0,177,55,292824000.0,252560000.0,40264000.0,1175,613,562,32.6,,,,,,,32.6,25.0,32.9,32.3,34.5,1175,1151,0,0,15,0,0,9,1175,392,1154,247,900,31,20,1134,1125,9,90.0,113.0,130.0,137.0,31.0,13.0,93.0,169.0,188.0,10.0,16.0,52.0,245.0,109.0,0.0,45.0,70.0,140.0,118.0
19,19,323506,0,4,59,715,84,110,92917.0,74705500,233,65,104734.0,32794.0,32433.0,40250.0,390,S,60590631024,15000US060590631024,33.6542429,-117.8915047,G5030,Block Group 4,1074,6,468116.16015625,2927.43003187623,63102,404,311,404,336,44,63,0,229,68,315345000.0,250735000.0,64610000.0,1647,855,792,39.8,,,29.0,,,36.4,45.6,32.7,36.5,38.0,36.5,1647,1342,0,0,104,0,0,201,1647,715,1647,384,1413,154,2,1645,1645,0,84.3,61.0,315.0,212.0,106.0,7.0,54.0,291.0,228.0,101.0,38.0,30.0,575.0,309.0,0.0,106.0,88.0,180.0,147.0
20,20,488673,0,2,59,412,16,8,112237.0,79036300,78,38,116053.0,58114.0,64833.0,50714.0,176,S,60590636012,15000US060590636012,33.647566999999995,-117.9348143,G5030,Block Group 2,1215,6,707002.64453125,4618.91120720915,63601,248,164,248,211,0,0,0,211,37,151789100.0,131419100.0,20370000.0,1049,563,486,44.1,,,42.7,,26.9,19.9,44.0,37.6,42.0,40.2,42.5,1049,793,0,7,53,0,152,44,1049,412,1049,234,954,52,42,1007,973,34,80.2,82.0,245.0,126.0,51.0,17.0,32.0,245.0,115.0,32.0,9.0,89.0,355.0,85.0,21.0,47.0,80.0,124.0,116.0
21,21,160457,0,3,59,315,36,10,127656.0,59041700,38,38,153700.0,64028.0,59750.0,64554.0,176,S,60590636013,15000US060590636013,33.645581400000005,-117.94347649999999,G5030,Block Group 3,1216,6,232134.95703125,1972.1569290476998,63601,247,68,247,192,0,22,0,170,55,132424000.0,101054000.0,31370000.0,765,419,346,43.5,,,27.0,,,,49.6,26.1,43.5,26.6,49.6,765,686,31,0,39,0,0,9,765,315,765,166,559,58,0,765,765,0,80.5,46.0,70.0,138.0,0.0,19.0,10.0,76.0,161.0,21.0,18.0,0.0,218.0,109.0,0.0,18.0,29.0,112.0,110.0
22,22,485775,0,1,59,482,12,47,41318.0,33529800,127,25,40053.0,22987.0,23929.0,21358.0,348,S,60590636041,15000US060590636041,33.6379091,-117.9340825,G5030,Block Group 1,1220,6,702654.6953125,3875.9779492385705,63604,66,416,66,57,0,0,0,57,9,,,,1667,862,805,39.6,,3.8,44.1,,29.4,24.6,45.8,29.4,30.6,29.4,33.0,1667,464,0,59,72,0,1004,68,1667,482,1667,184,1159,54,277,1390,1344,46,73.2,62.0,324.0,158.0,11.0,36.0,25.0,310.0,132.0,42.0,59.0,170.0,164.0,71.0,85.0,135.0,119.0,43.0,41.0
23,23,715930,0,2,59,1055,155,34,66793.0,80623200,313,144,70670.0,40171.0,42365.0,32146.0,513,S,60590636042,15000US060590636042,33.6386121,-117.93966280000001,G5030,Block Group 2,1221,6,1035578.00390625,4264.05311608819,63604,530,525,530,234,41,21,0,172,296,164116000.0,127021000.0,37095000.0,2708,1423,1285,40.8,,,58.2,,27.5,6.4,49.8,26.3,37.8,39.6,33.1,2708,1953,11,0,168,0,484,92,2708,1055,2708,519,2148,84,164,2544,2382,26,74.5,123.0,423.0,421.0,223.0,16.0,122.0,335.0,313.0,133.0,43.0,471.0,506.0,156.0,147.0,142.0,300.0,178.0,99.0
24,24,161956,0,1,59,380,38,23,55878.0,22786400,34,8,34277.0,21339.0,22027.0,16309.0,267,S,60590636051,15000US060590636051,33.6415735,-117.9297892,G5030,Block Group 1,1222,6,234282.6875,1935.89662239452,63605,23,357,23,23,0,0,0,23,0,,,,1536,995,541,35.0,,,,,24.3,15.4,33.3,27.9,28.7,26.8,37.8,1536,747,0,0,17,0,733,39,1536,380,1536,84,1164,18,123,1413,1142,271,74.5,163.0,341.0,185.0,0.0,16.0,108.0,107.0,233.0,11.0,0.0,259.0,155.0,29.0,51.0,103.0,96.0,40.0,29.0
25,25,549540,0,2,59,577,61,55,58194.0,46735100,67,24,33292.0,30448.0,,20298.0,377,S,60590636052,15000US060590636052,33.637510299999995,-117.9252311,G5030,Block Group 2,1223,6,794877.5078125,4493.654661008661,63605,109,468,109,109,0,15,0,94,0,68810000.0,68810000.0,,1812,969,843,34.0,,,35.5,,38.8,13.4,33.3,37.2,35.7,36.8,33.2,1812,1325,36,0,47,10,339,55,1812,577,1579,206,1418,64,130,1449,1365,84,71.7,134.0,371.0,237.0,22.0,60.0,53.0,316.0,142.0,34.0,49.0,262.0,345.0,156.0,79.0,145.0,44.0,91.0,102.0
26,26,323943,0,3,59,463,53,7,48109.0,30515200,23,32,47539.0,20726.0,23556.0,12107.0,427,S,60590636053,15000US060590636053,33.636131299999995,-117.9297228,G5030,Block Group 3,1224,6,468550.32421875,2906.18393881515,63605,61,402,61,28,0,13,0,15,33,66740000.0,14375000.0,52365000.0,2135,1279,856,30.0,,,,7.7,27.6,,49.3,27.4,27.8,27.0,31.6,2135,1135,7,0,0,55,926,12,2135,463,2135,105,1469,6,323,1812,1607,205,71.7,158.0,513.0,164.0,31.0,6.0,80.0,306.0,151.0,34.0,26.0,368.0,182.0,13.0,96.0,158.0,81.0,30.0,38.0
27,27,217142,0,1,59,291,67,13,27554.0,16589500,164,44,85326.0,22083.0,25042.0,,134,S,60590637011,15000US060590637011,33.64706470000001,-117.926244,G5030,Block Group 1,1225,6,314152.71875,2594.81223789517,63701,77,214,77,54,0,0,0,54,23,,,,889,365,524,40.9,,,73.2,,19.6,,60.5,34.4,39.8,30.8,47.3,889,680,5,0,46,0,144,14,889,291,889,71,720,7,193,696,677,19,68.8,97.0,93.0,61.0,35.0,12.0,37.0,88.0,124.0,110.0,63.0,131.0,130.0,41.0,132.0,30.0,16.0,5.0,28.0
28,28,161131,0,3,59,460,113,34,44573.0,29178100,38,7,43043.0,25148.0,25739.0,19095.0,284,S,60590637013,15000US060590637013,33.65161629999999,-117.9234155,G5030,Block Group 3,1226,6,233141.90625,2417.41164755492,63701,50,410,50,39,0,7,0,32,11,,,,1738,933,805,28.9,,,56.7,,18.8,,28.9,21.9,27.0,21.9,29.6,1738,691,0,0,70,0,953,24,1738,460,1738,131,1162,19,225,1513,1372,141,68.8,57.0,252.0,162.0,16.0,19.0,140.0,330.0,158.0,16.0,12.0,187.0,228.0,33.0,103.0,107.0,33.0,38.0,32.0
29,29,241164,0,4,59,460,64,13,53821.0,31101700,59,33,54481.0,24974.0,27335.0,22860.0,404,S,60590637014,15000US060590637014,33.64973079999999,-117.92990220000002,G5030,Block Group 4,1227,6,348927.734375,2418.15694901507,63701,90,370,90,32,0,14,0,18,58,,,,1949,807,1142,30.4,13.5,,,,27.2,28.4,36.4,26.8,28.3,27.9,29.2,1949,960,49,0,38,0,789,113,1949,460,1949,124,1326,14,204,1745,1745,0,72.7,95.0,272.0,109.0,48.0,0.0,92.0,427.0,182.0,89.0,12.0,356.0,256.0,31.0,38.0,110.0,132.0,67.0,36.0
30,30,367145,0,1,59,423,45,23,64327.0,37194500,23,12,79565.0,34240.0,51667.0,,234,S,60590637021,15000US060590637021,33.6507555,-117.91424350000001,G5030,Block Group 1,1228,6,531216.77734375,3206.04848558277,63702,68,355,68,60,0,0,0,60,8,,,,1154,600,554,35.3,,,44.4,,45.2,13.4,38.5,29.5,34.4,36.8,31.5,1154,739,10,0,125,0,148,132,1154,423,1066,179,879,31,12,1054,857,197,71.5,19.0,212.0,183.0,30.0,12.0,59.0,227.0,125.0,0.0,12.0,98.0,230.0,57.0,30.0,102.0,93.0,30.0,100.0
31,31,303512,0,3,59,416,15,25,59216.0,37146000,64,34,,50417.0,58529.0,41250.0,216,S,60590637023,15000US060590637023,33.646128000000004,-117.91665249999998,G5030,Block Group 3,1229,6,439101.39453125,3021.46596102601,63702,154,262,154,90,0,0,0,90,64,70795000.0,67220000.0,3575000.0,1089,689,400,29.7,,,,,14.5,72.2,29.8,22.7,29.6,29.6,29.5,1089,677,27,0,7,0,271,107,1089,416,1089,226,807,55,7,1082,843,224,75.8,63.0,209.0,158.0,0.0,93.0,23.0,158.0,30.0,73.0,0.0,30.0,200.0,225.0,33.0,115.0,83.0,35.0,110.0
32,32,216099,0,4,59,510,36,10,61290.0,39623800,108,21,61129.0,22787.0,25542.0,22330.0,414,S,60590637024,15000US060590637024,33.6470785,-117.9233509,G5030,Block Group 4,1230,6,312644.35546875,2587.5525635441,63702,191,319,191,171,12,33,0,126,20,,,,2180,1215,965,30.3,,,,,33.0,22.3,41.0,22.9,31.5,21.6,38.9,2180,1494,0,24,25,0,503,134,2180,510,2180,263,1424,0,97,2083,2071,12,73.2,126.0,163.0,280.0,86.0,11.0,106.0,251.0,351.0,38.0,12.0,264.0,35.0,110.0,41.0,126.0,170.0,58.0,69.0
33,33,581047,0,1,59,571,55,17,76587.0,61430100,178,97,60132.0,39679.0,39607.0,40054.0,418,S,60590638021,15000US060590638021,33.676986,-117.92332250000001,G5030,Block Group 1,1231,6,841216.1171875,3553.9858751046504,63802,318,253,318,225,0,36,0,189,93,222495000.0,159245000.0,63250000.0,1698,756,942,37.1,36.7,,52.8,,5.8,41.6,47.2,22.8,36.0,36.4,34.5,1698,1391,38,35,77,0,49,108,1698,571,1691,241,1227,87,119,1572,1408,139,83.3,115.0,191.0,198.0,39.0,61.0,96.0,210.0,244.0,78.0,56.0,242.0,390.0,116.0,36.0,169.0,47.0,111.0,136.0
34,34,646174,0,2,59,458,57,0,126452.0,86452300,280,138,126290.0,66250.0,72647.0,42308.0,346,S,60590638022,15000US060590638022,33.6758714,-117.93128770000001,G5030,Block Group 2,1232,6,935478.578125,3845.546343706621,63802,442,16,442,299,0,45,11,243,143,384473900.0,284366700.0,100107200.0,1220,599,621,56.3,,,44.9,,,9.7,56.4,15.9,54.3,49.7,57.1,1220,1096,10,0,48,0,7,59,1220,458,1208,355,1077,84,17,1191,1191,0,87.6,19.0,173.0,183.0,74.0,66.0,19.0,105.0,203.0,72.0,163.0,92.0,383.0,200.0,8.0,63.0,25.0,107.0,198.0
35,35,423643,0,1,59,319,29,9,108542.0,47252600,120,61,129250.0,54926.0,64886.0,53382.0,247,S,60590638031,15000US060590638031,33.6702081,-117.94129860000001,G5030,Block Group 1,1233,6,613233.4921875,3804.199778877,63803,310,9,310,247,0,66,0,181,63,326520000.0,205420000.0,121100000.0,905,450,455,41.4,,,42.8,,,,39.8,48.1,41.9,44.6,38.7,905,840,0,0,56,0,0,9,905,319,905,269,664,37,0,905,905,0,86.6,22.0,116.0,137.0,39.0,44.0,14.0,84.0,119.0,36.0,53.0,90.0,166.0,93.0,19.0,42.0,43.0,55.0,122.0
36,36,1651865,0,2,59,449,58,38,104850.0,50729600,75,60,112500.0,64153.0,75547.0,43824.0,180,S,60590638032,15000US060590638032,33.6603343,-117.94295359999998,G5030,Block Group 2,1234,6,2390575.25,7871.43993996206,63803,204,245,204,188,17,11,0,160,16,,,,930,526,404,44.0,,,38.6,,43.2,35.2,44.2,43.2,42.7,43.7,40.7,930,747,7,0,78,0,55,43,930,449,930,254,845,49,37,893,893,0,85.0,12.0,266.0,126.0,65.0,14.0,0.0,185.0,119.0,41.0,17.0,73.0,379.0,127.0,9.0,50.0,46.0,106.0,142.0
37,37,197192,0,3,59,476,70,9,89551.0,46568300,35,87,111458.0,35365.0,21650.0,50643.0,245,S,60590638033,15000US060590638033,33.6539211,-117.9430753,G5030,Block Group 3,1235,6,285333.76953125,2370.80714975405,63803,150,326,150,124,0,27,0,97,26,70783000.0,57583000.0,13200000.0,1303,716,587,29.9,,23.6,30.7,,,32.5,35.4,27.2,30.3,25.9,33.8,1303,1087,21,29,51,0,26,89,1303,476,1248,199,1015,0,8,1240,1231,9,74.5,100.0,263.0,137.0,8.0,0.0,56.0,220.0,207.0,24.0,0.0,171.0,369.0,67.0,45.0,44.0,92.0,114.0,102.0
38,38,400260,0,4,59,432,25,26,92143.0,46870800,147,93,102111.0,33224.0,28750.0,50417.0,326,S,60590638034,15000US060590638034,33.6549214,-117.9360639,G5030,Block Group 4,1236,6,579187.3203125,3171.83226423339,63803,275,157,275,221,0,29,20,172,54,183871900.0,157464000.0,26407900.0,1469,772,697,49.4,,,37.7,53.9,31.3,,50.9,35.7,37.2,36.7,46.5,1469,938,0,21,55,52,363,40,1469,432,1469,139,1207,9,69,1400,1400,0,74.5,85.0,204.0,263.0,28.0,52.0,35.0,186.0,217.0,69.0,68.0,259.0,339.0,72.0,41.0,61.0,64.0,85.0,130.0
39,39,590016,0,1,59,429,69,5,106607.0,48452300,131,66,103654.0,49688.0,54922.0,38393.0,300,S,60590638051,15000US060590638051,33.691207500000004,-117.929501,G5030,Block Group 1,1237,6,854466.94921875,6411.0686665924595,63805,307,122,307,260,13,30,0,217,47,179242000.0,155892000.0,23350000.0,1317,625,692,38.0,,,34.9,,32.7,10.5,38.9,32.3,36.9,38.2,34.4,1317,1071,0,0,99,0,129,18,1317,429,1310,316,1053,38,25,1285,1212,73,86.2,55.0,166.0,194.0,76.0,0.0,55.0,279.0,141.0,70.0,17.0,131.0,336.0,71.0,29.0,50.0,36.0,141.0,99.0
