categories,fund_code,fund_code_descr,departments,organization,organization_descr,program_code,program_code_descr,account,account_descr,fiscal_year,adopted,amended,actual,fiscal_year_descr,row_id
Charges for Service,101,General Fund,Fire,16200,Fire Suppression/MIC,10230,Emergency Medical Aid,435380,EMS - First Responder Fee,2016,226600,226600,231818.69,2015  -  2016,FY2016PRG10230FND101DEP16200ACC435380
Charges for Service,101,General Fund,Fire,16200,Fire Suppression/MIC,10230,Emergency Medical Aid,435390,Paramedic Fee - Advanced,2016,285400,285400,313452.09,2015  -  2016,FY2016PRG10230FND101DEP16200ACC435390
Charges for Service,101,General Fund,Fire,16200,Fire Suppression/MIC,10230,Emergency Medical Aid,435395,Medical Supply Reimbursement,2016,124800,124800,131932.35,2015  -  2016,FY2016PRG10230FND101DEP16200ACC435395
Charges for Service,101,General Fund,Fire,16200,Fire Suppression/MIC,10230,Emergency Medical Aid,435999,Other Charges for Services,2016,0,0,13146.98,2015  -  2016,FY2016PRG10230FND101DEP16200ACC435999
Intergovernmental,101,General Fund,Public Services,19100,Public Services Administration,20230,Recycling,430281,Beverage Container Program,2016,59000,59000,29599,2015  -  2016,FY2016PRG20230FND101DEP19100ACC430281
Charges for Service,101,General Fund,Public Services,19100,Public Services Administration,20230,Recycling,435240,Source Reduction/Recycling,2016,16600,16600,18910,2015  -  2016,FY2016PRG20230FND101DEP19100ACC435240
Charges for Service,101,General Fund,Development Services,18200,Planning,20310,Advance Planning,435100,"Zoning, Variance & CUP Fees",2016,0,0,5000,2015  -  2016,FY2016PRG20310FND101DEP18200ACC435100
Charges for Service,101,General Fund,Development Services,18200,Planning,20310,Advance Planning,435120,Environmental Impact Fees,2016,0,0,12858.6,2015  -  2016,FY2016PRG20310FND101DEP18200ACC435120
Charges for Service,101,General Fund,Development Services,18200,Planning,20320,Planning,435100,"Zoning, Variance & CUP Fees",2016,147500,147500,189535,2015  -  2016,FY2016PRG20320FND101DEP18200ACC435100
Charges for Service,101,General Fund,Development Services,18200,Planning,20320,Planning,435110,Subdivision Map Fees,2016,31100,31100,40355,2015  -  2016,FY2016PRG20320FND101DEP18200ACC435110
Charges for Service,101,General Fund,Development Services,18200,Planning,20320,Planning,435120,Environmental Impact Fees,2016,29000,29000,0,2015  -  2016,FY2016PRG20320FND101DEP18200ACC435120
Licenses & Permits,101,General Fund,Development Services,18300,Building Safety,20350,Code Enforcement,415220,Home Occupation Permits,2016,15000,15000,12550,2015  -  2016,FY2016PRG20350FND101DEP18300ACC415220
Fines & Forfeitures,101,General Fund,Development Services,18300,Building Safety,20350,Code Enforcement,420100,Municipal Code Violations,2016,0,0,29982.91,2015  -  2016,FY2016PRG20350FND101DEP18300ACC420100
Charges for Service,101,General Fund,Development Services,18300,Building Safety,20350,Code Enforcement,440200,Special Assessments,2016,15000,15000,742.49,2015  -  2016,FY2016PRG20350FND101DEP18300ACC440200
Miscellaneous,101,General Fund,Development Services,18300,Building Safety,20350,Code Enforcement,455999,Other Reimbursements,2016,0,0,12446.94,2015  -  2016,FY2016PRG20350FND101DEP18300ACC455999
Licenses & Permits,101,General Fund,Development Services,18300,Building Safety,20410,Building Safety,415130,Building Permits,2016,1460000,1460000,1454537.58,2015  -  2016,FY2016PRG20410FND101DEP18300ACC415130
Licenses & Permits,101,General Fund,Development Services,18300,Building Safety,20410,Building Safety,415140,Electrical Permits,2016,227000,227000,268236.85,2015  -  2016,FY2016PRG20410FND101DEP18300ACC415140
Licenses & Permits,101,General Fund,Development Services,18300,Building Safety,20410,Building Safety,415150,Plumbing/Mechanical Permits,2016,279600,279600,305100.25,2015  -  2016,FY2016PRG20410FND101DEP18300ACC415150
Charges for Service,101,General Fund,Development Services,18300,Building Safety,20410,Building Safety,415160,Plan Check Fee,2016,408000,408000,398839.92,2015  -  2016,FY2016PRG20410FND101DEP18300ACC415160
Miscellaneous,205,HOME Program Fund,Development Services,11320,HOME,20422,Single Family Housing Rehab.,420180,Lien/Loan Repayment,2016,50000,50000,160205.13,2015  -  2016,FY2016PRG20422FND205DEP11320ACC420180
Investment Income,205,HOME Program Fund,Development Services,11320,HOME,20422,Single Family Housing Rehab.,425100,Investment Earnings,2016,150,150,0,2015  -  2016,FY2016PRG20422FND205DEP11320ACC425100
Miscellaneous,216,Rental Rehab Program Fund,Development Services,11320,HOME,20422,Single Family Housing Rehab.,420180,Lien/Loan Repayment,2016,0,0,40000,2015  -  2016,FY2016PRG20422FND216DEP11320ACC420180
Intergovernmental,207,CDBG Fund,Development Services,11310,Housing Administration,20427,CDBG Administration,430105,Community Dev. Block Grant,2016,1028141,1028141,690451.42,2015  -  2016,FY2016PRG20427FND207DEP11310ACC430105
Intergovernmental,205,HOME Program Fund,Development Services,11320,HOME,20440,HOME Program,430110,HOME Invest. Partnership Grant,2016,743265,743265,158764.96,2015  -  2016,FY2016PRG20440FND205DEP11320ACC430110
Licenses & Permits,101,General Fund,Public Services,19500,Maintenance Services,30111,Street Maintenance,415170,Street Permits,2016,269800,269800,321525,2015  -  2016,FY2016PRG30111FND101DEP19500ACC415170
Charges for Service,101,General Fund,Public Services,19500,Maintenance Services,30111,Street Maintenance,435140,Vacation/Abandonment of R-O-W,2016,500,500,300,2015  -  2016,FY2016PRG30111FND101DEP19500ACC435140
Miscellaneous,101,General Fund,Public Services,19500,Maintenance Services,30111,Street Maintenance,455180,Construction Permit Insp. Fees,2016,0,0,64340,2015  -  2016,FY2016PRG30111FND101DEP19500ACC455180
Miscellaneous,201,Gas Tax Fund,Public Services,19300,Transportation Services,30112,Street Improvements,455999,Other Reimbursements,2016,0,0,12000,2015  -  2016,FY2016PRG30112FND201DEP19300ACC455999
Miscellaneous,207,CDBG Fund,Public Services,19200,Engineering,30112,Street Improvements,455999,Other Reimbursements,2016,0,0,6630,2015  -  2016,FY2016PRG30112FND207DEP19200ACC455999
Licenses & Permits,209,Drainage Fees Fund,Public Services,19200,Engineering,30112,Street Improvements,435180,Drainage Assessment Fees,2016,400000,400000,636820.09,2015  -  2016,FY2016PRG30112FND209DEP19200ACC435180
Licenses & Permits,214,Traffic Impact Fees Fund,Public Services,19200,Engineering,30112,Street Improvements,435210,Traffic Impact Fees,2016,150000,150000,445356,2015  -  2016,FY2016PRG30112FND214DEP19200ACC435210
Miscellaneous,401,Capital Improvements Fund,Public Services,19200,Engineering,30112,Street Improvements,455999,Other Reimbursements,2016,0,0,64126.53,2015  -  2016,FY2016PRG30112FND401DEP19200ACC455999
Intergovernmental,401,Capital Improvements Fund,Public Services,19300,Transportation Services,30112,Street Improvements,430199,Other Federal Grants,2016,0,0,30385.41,2015  -  2016,FY2016PRG30112FND401DEP19300ACC430199
Miscellaneous,403,"Measure M"" Construction Fund""",Public Services,19200,Engineering,30112,Street Improvements,455999,Other Reimbursements,2016,0,0,0,2015  -  2016,FY2016PRG30112FND403DEP19200ACC455999
Intergovernmental,415,"Measure M2"" Fund""",Public Services,19300,Transportation Services,30112,Street Improvements,430310,"Measure M"" Regional Grant""",2016,0,0,0,2015  -  2016,FY2016PRG30112FND415DEP19300ACC430310
Intergovernmental,415,"Measure M2"" Fund""",Public Services,19200,Engineering,30122,Storm Drain Improvements,430312,"Measure M2"" Regional Grant""",2016,0,0,0,2015  -  2016,FY2016PRG30122FND415DEP19200ACC430312
Miscellaneous,214,Traffic Impact Fees Fund,Public Services,19300,Transportation Services,30210,Traffic Planning,455999,Other Reimbursements,2016,0,0,0,2015  -  2016,FY2016PRG30210FND214DEP19300ACC455999
Intergovernmental,401,Capital Improvements Fund,Public Services,19300,Transportation Services,30210,Traffic Planning,430199,Other Federal Grants,2016,0,0,864384.02,2015  -  2016,FY2016PRG30210FND401DEP19300ACC430199
Miscellaneous,401,Capital Improvements Fund,Public Services,19300,Transportation Services,30210,Traffic Planning,455999,Other Reimbursements,2016,0,0,0,2015  -  2016,FY2016PRG30210FND401DEP19300ACC455999
Miscellaneous,415,"Measure M2"" Fund""",Public Services,19300,Transportation Services,30210,Traffic Planning,455999,Other Reimbursements,2016,0,0,0,2015  -  2016,FY2016PRG30210FND415DEP19300ACC455999
Rental,101,General Fund,Public Services,19300,Transportation Services,30241,Traffic Operations,445190,Bus Shelter Advertising,2016,95400,95400,106626.66,2015  -  2016,FY2016PRG30241FND101DEP19300ACC445190
Intergovernmental,401,Capital Improvements Fund,Public Services,19300,Transportation Services,30241,Traffic Operations,430299,Other State Grants,2016,800000,800000,0,2015  -  2016,FY2016PRG30241FND401DEP19300ACC430299
Taxes,101,General Fund,Finance,13200,Financial Operations,50540,Treasury,410225,Solid WasteHauler Frnchise Tax,2016,2167900,2167900,1936837.43,2015  -  2016,FY2016PRG50540FND101DEP13200ACC410225
Intergovernmental,415,"Measure M2"" Fund""",Public Services,19300,Transportation Services,30241,Traffic Operations,430312,"Measure M2"" Regional Grant""",2016,0,0,0,2015  -  2016,FY2016PRG30241FND415DEP19300ACC430312
Charges for Service,101,General Fund,Public Services,19500,Maintenance Services,40111,Park Maintenance,435440,Park Permits,2016,39000,39000,39179.6,2015  -  2016,FY2016PRG40111FND101DEP19500ACC435440
Miscellaneous,101,General Fund,Public Services,19500,Maintenance Services,40111,Park Maintenance,499999,Other,2016,0,0,1.95,2015  -  2016,FY2016PRG40111FND101DEP19500ACC499999
Miscellaneous,101,General Fund,Public Services,19200,Engineering,40112,Park Development,450300,Donations,2016,5500,5500,0,2015  -  2016,FY2016PRG40112FND101DEP19200ACC450300
Charges for Service,101,General Fund,Public Services,19500,Maintenance Services,40112,Park Development,435450,Park Improvements,2016,7200,7200,10685.8,2015  -  2016,FY2016PRG40112FND101DEP19500ACC435450
Licenses & Permits,208,Park Development Fees Fund,Public Services,19200,Engineering,40112,Park Development,435170,Park Development Fees,2016,500000,500000,1952014,2015  -  2016,FY2016PRG40112FND208DEP19200ACC435170
Rental,101,General Fund,Parks and Community Services,14300,Recreation Division,40121,Downtown Recreation Center,445110,"Downtown Community Center,Rent",2016,29000,29000,16281.61,2015  -  2016,FY2016PRG40121FND101DEP14300ACC445110
Rental,101,General Fund,Parks and Community Services,14300,Recreation Division,40122,Balearic Community Center,445120,"Balearic Community Center,Rent",2016,14000,14000,22419.32,2015  -  2016,FY2016PRG40122FND101DEP14300ACC445120
Rental,101,General Fund,Parks and Community Services,14300,Recreation Division,40123,Neighborhood Community Center,445130,"Neighborhood Comm Center, Rent",2016,109000,109000,93716.69,2015  -  2016,FY2016PRG40123FND101DEP14300ACC445130
Charges for Service,101,General Fund,Parks and Community Services,14300,Recreation Division,40212,Aquatics,435470,Aquatics,2016,85000,85000,73789.27,2015  -  2016,FY2016PRG40212FND101DEP14300ACC435470
Rental,101,General Fund,Parks and Community Services,14300,Recreation Division,40213,Tennis,445160,"Tennis,Rental",2016,44600,44600,47799.02,2015  -  2016,FY2016PRG40213FND101DEP14300ACC445160
Charges for Service,101,General Fund,Parks and Community Services,14300,Recreation Division,40214,Adult Sports Basketball,435540,Basketball,2016,35000,35000,17356.95,2015  -  2016,FY2016PRG40214FND101DEP14300ACC435540
Charges for Service,101,General Fund,Parks and Community Services,14300,Recreation Division,40214,Adult Sports Basketball,435541,Adult Open Gym,2016,2500,2500,7294.47,2015  -  2016,FY2016PRG40214FND101DEP14300ACC435541
Charges for Service,101,General Fund,Parks and Community Services,14300,Recreation Division,40215,Adult Sports Softball,435550,Softball,2016,110000,110000,23328,2015  -  2016,FY2016PRG40215FND101DEP14300ACC435550
Rental,101,General Fund,Parks and Community Services,14300,Recreation Division,40216,Fields/Field Ambassadors,445150,Field Rental,2016,150000,150000,122469.87,2015  -  2016,FY2016PRG40216FND101DEP14300ACC445150
Miscellaneous,101,General Fund,Parks and Community Services,14300,Recreation Division,40216,Fields/Field Ambassadors,455999,Other Reimbursements,2016,0,0,299,2015  -  2016,FY2016PRG40216FND101DEP14300ACC455999
Rental,101,General Fund,Parks and Community Services,14300,Recreation Division,40217,Golf Course Management,445180,Golf Course Operations,2016,2162800,2162800,2167020.52,2015  -  2016,FY2016PRG40217FND101DEP14300ACC445180
Miscellaneous,101,General Fund,Parks and Community Services,14300,Recreation Division,40218,Youth Sports,450300,Donations,2016,0,1500,1500,2015  -  2016,FY2016PRG40218FND101DEP14300ACC450300
Intergovernmental,101,General Fund,Parks and Community Services,14300,Recreation Division,40231,Senior Center,430399,Other County Grants,2016,0,0,85900.56,2015  -  2016,FY2016PRG40231FND101DEP14300ACC430399
Charges for Service,101,General Fund,Parks and Community Services,14300,Recreation Division,40231,Senior Center,435520,Instructional Classes,2016,0,0,43831.38,2015  -  2016,FY2016PRG40231FND101DEP14300ACC435520
Charges for Service,101,General Fund,Parks and Community Services,14300,Recreation Division,40231,Senior Center,435575,Senior Center Charges,2016,87200,87200,10515.26,2015  -  2016,FY2016PRG40231FND101DEP14300ACC435575
Rental,101,General Fund,Parks and Community Services,14300,Recreation Division,40231,Senior Center,445135,"Senior Center, Rental",2016,116000,116000,104492.44,2015  -  2016,FY2016PRG40231FND101DEP14300ACC445135
Miscellaneous,101,General Fund,Parks and Community Services,14300,Recreation Division,40231,Senior Center,450300,Donations,2016,0,100000,100150,2015  -  2016,FY2016PRG40231FND101DEP14300ACC450300
Charges for Service,101,General Fund,Parks and Community Services,14300,Recreation Division,40232,Day Camp,435480,Day Camp,2016,128000,128000,192628.2,2015  -  2016,FY2016PRG40232FND101DEP14300ACC435480
Charges for Service,101,General Fund,Parks and Community Services,14300,Recreation Division,40233,Playgrounds Program,435490,Playgrounds,2016,251000,251000,355562.42,2015  -  2016,FY2016PRG40233FND101DEP14300ACC435490
Charges for Service,101,General Fund,Parks and Community Services,14300,Recreation Division,40236,Teen Programs,435565,Teen Camp,2016,34000,34000,41968.46,2015  -  2016,FY2016PRG40236FND101DEP14300ACC435565
Charges for Service,101,General Fund,Parks and Community Services,14300,Recreation Division,40241,Early Childhood,435510,Early Childhood,2016,89000,89000,122648.48,2015  -  2016,FY2016PRG40241FND101DEP14300ACC435510
Charges for Service,101,General Fund,Parks and Community Services,14300,Recreation Division,40242,Adult Instructional Classes,435520,Instructional Classes,2016,390000,390000,81352.94,2015  -  2016,FY2016PRG40242FND101DEP14300ACC435520
Miscellaneous,101,General Fund,Parks and Community Services,14300,Recreation Division,40242,Adult Instructional Classes,499999,Other,2016,0,0,500,2015  -  2016,FY2016PRG40242FND101DEP14300ACC499999
Charges for Service,101,General Fund,Parks and Community Services,14300,Recreation Division,40243,Youth Instructional Classes,435520,Instructional Classes,2016,0,0,358748.11,2015  -  2016,FY2016PRG40243FND101DEP14300ACC435520
Miscellaneous,101,General Fund,Parks and Community Services,14300,Recreation Division,40243,Youth Instructional Classes,499999,Other,2016,0,0,2250,2015  -  2016,FY2016PRG40243FND101DEP14300ACC499999
Rental,101,General Fund,Parks and Community Services,14300,Recreation Division,50001,Department Administration Prog,445100,"Buildings/Grounds, Rental",2016,0,0,7810.86,2015  -  2016,FY2016PRG50001FND101DEP14300ACC445100
Intergovernmental,101,General Fund,Police,15100,Police Administration,50001,Department Administration Prog,430299,Other State Grants,2016,0,0,0,2015  -  2016,FY2016PRG50001FND101DEP15100ACC430299
Intergovernmental,101,General Fund,Police,15400,Police Support Services,50001,Department Administration Prog,430199,Other Federal Grants,2016,672700,672700,0,2015  -  2016,FY2016PRG50001FND101DEP15400ACC430199
Intergovernmental,101,General Fund,Fire,16100,Fire Administration,50001,Department Administration Prog,430199,Other Federal Grants,2016,0,13637,0,2015  -  2016,FY2016PRG50001FND101DEP16100ACC430199
Transfers In,101,General Fund,Non-Departmental,90000,Non-Departmental,50240,Non-Departmental,460100,Operating Transfers In,2016,400000,400000,400505.42,2015  -  2016,FY2016PRG50240FND101DEP90000ACC460100
Miscellaneous,101,General Fund,Non-Departmental,90000,Non-Departmental,50240,Non-Departmental,465600,Nonoperating Income - Other,2016,0,0,287740,2015  -  2016,FY2016PRG50240FND101DEP90000ACC465600
Transfers In,213,Supp. Law Enforcement COP Fund,Non-Departmental,90000,Non-Departmental,50240,Non-Departmental,460100,Operating Transfers In,2016,0,0,106583.02,2015  -  2016,FY2016PRG50240FND213DEP90000ACC460100
Investment Income,216,Rental Rehab Program Fund,Non-Departmental,90000,Non-Departmental,50240,Non-Departmental,425100,Investment Earnings,2016,86,86,0,2015  -  2016,FY2016PRG50240FND216DEP90000ACC425100
Transfers In,401,Capital Improvements Fund,Non-Departmental,90000,Non-Departmental,50240,Non-Departmental,460100,Operating Transfers In,2016,8827536,8827536,8827536,2015  -  2016,FY2016PRG50240FND401DEP90000ACC460100
Transfers In,415,"Measure M2"" Fund""",Non-Departmental,90000,Non-Departmental,50240,Non-Departmental,460100,Operating Transfers In,2016,0,0,-9965.5,2015  -  2016,FY2016PRG50240FND415DEP90000ACC460100
Taxes,101,General Fund,Finance,13200,Financial Operations,50540,Treasury,410165,Sales Tax In-Lieu,2016,6926000,6926000,10821178.72,2015  -  2016,FY2016PRG50540FND101DEP13200ACC410165
Taxes,101,General Fund,Finance,13200,Financial Operations,50540,Treasury,410180,Transient Occupancy Tax,2016,8107500,8107500,8622504.89,2015  -  2016,FY2016PRG50540FND101DEP13200ACC410180
Taxes,101,General Fund,Finance,13200,Financial Operations,50540,Treasury,410190,Electric Utility Franchise Tax,2016,1303800,1303800,1355237.3,2015  -  2016,FY2016PRG50540FND101DEP13200ACC410190
Taxes,101,General Fund,Finance,13200,Financial Operations,50540,Treasury,410200,Cable TV Franchise Tax,2016,1214800,1214800,1183528.07,2015  -  2016,FY2016PRG50540FND101DEP13200ACC410200
Taxes,101,General Fund,Finance,13200,Financial Operations,50540,Treasury,410205,PEG Cable TV Franchise Tax,2016,100900,100900,370727.73,2015  -  2016,FY2016PRG50540FND101DEP13200ACC410205
Taxes,101,General Fund,Finance,13200,Financial Operations,50540,Treasury,410210,Gas Utility Franchise Tax,2016,252200,252200,214071.21,2015  -  2016,FY2016PRG50540FND101DEP13200ACC410210
Taxes,101,General Fund,Finance,13200,Financial Operations,50540,Treasury,410220,Business License Tax,2016,952100,952100,983100.28,2015  -  2016,FY2016PRG50540FND101DEP13200ACC410220
Taxes,101,General Fund,Finance,13200,Financial Operations,50540,Treasury,410221,Business License Web Fee,2016,0,0,-9579.34,2015  -  2016,FY2016PRG50540FND101DEP13200ACC410221
Licenses & Permits,101,General Fund,Finance,13200,Financial Operations,50540,Treasury,415210,Special Business Permits,2016,100,100,215,2015  -  2016,FY2016PRG50540FND101DEP13200ACC415210
