fiscal_year,adopted,amended,expended,categories,sub_categories,fund_code,departments,organization,organization_descr,program_code,account_groupings,account,fund_code_descr,program_code_descr,account_descr,fiscal_year_descr,row_id
2017,2400,2400,116.31,Protection of Persons and Prop,Police Protection,202,Police,15300,Police Field Operations,10111,Salaries and Benefits,501500,Prop 172 -- Public Safety Fund,Field Area Policing,Accrual Payoff - Excess Max.,2016  -  2017,FY2017PRG10111FND202DEP15300ACC501500
2017,0,0,19374.62,Protection of Persons and Prop,Police Protection,202,Police,15300,Police Field Operations,10111,Salaries and Benefits,501700,Prop 172 -- Public Safety Fund,Field Area Policing,Holiday Allowance,2016  -  2017,FY2017PRG10111FND202DEP15300ACC501700
2017,70362,70362,76466.47,Protection of Persons and Prop,Police Protection,202,Police,15300,Police Field Operations,10111,Salaries and Benefits,501900,Prop 172 -- Public Safety Fund,Field Area Policing,Other Compensation,2016  -  2017,FY2017PRG10111FND202DEP15300ACC501900
2017,37860,37860,33955.06,Protection of Persons and Prop,Police Protection,202,Police,15300,Police Field Operations,10111,Salaries and Benefits,505100,Prop 172 -- Public Safety Fund,Field Area Policing,Cafeteria Plan,2016  -  2017,FY2017PRG10111FND202DEP15300ACC505100
2017,8932,8932,9651.12,Protection of Persons and Prop,Police Protection,202,Police,15300,Police Field Operations,10111,Salaries and Benefits,505200,Prop 172 -- Public Safety Fund,Field Area Policing,Medicare,2016  -  2017,FY2017PRG10111FND202DEP15300ACC505200
2017,330236,330236,319077.08,Protection of Persons and Prop,Police Protection,202,Police,15300,Police Field Operations,10111,Salaries and Benefits,505300,Prop 172 -- Public Safety Fund,Field Area Policing,Retirement,2016  -  2017,FY2017PRG10111FND202DEP15300ACC505300
2017,407,407,407,Protection of Persons and Prop,Police Protection,202,Police,15300,Police Field Operations,10111,Salaries and Benefits,505800,Prop 172 -- Public Safety Fund,Field Area Policing,Unemployment,2016  -  2017,FY2017PRG10111FND202DEP15300ACC505800
2017,31020,31020,31020,Protection of Persons and Prop,Police Protection,202,Police,15300,Police Field Operations,10111,Salaries and Benefits,505900,Prop 172 -- Public Safety Fund,Field Area Policing,Workers' Compensation,2016  -  2017,FY2017PRG10111FND202DEP15300ACC505900
2017,129343,129343,128793.93,Protection of Persons and Prop,Police Protection,213,Police,15300,Police Field Operations,10111,Salaries and Benefits,501100,Supp. Law Enforcement COP Fund,Field Area Policing,Regular Salaries - Sworn,2016  -  2017,FY2017PRG10111FND213DEP15300ACC501100
2017,0,0,61932.6,Protection of Persons and Prop,Police Protection,213,Police,15300,Police Field Operations,10111,Salaries and Benefits,501400,Supp. Law Enforcement COP Fund,Field Area Policing,Overtime,2016  -  2017,FY2017PRG10111FND213DEP15300ACC501400
2017,0,0,5853.05,Protection of Persons and Prop,Police Protection,213,Police,15300,Police Field Operations,10111,Salaries and Benefits,501700,Supp. Law Enforcement COP Fund,Field Area Policing,Holiday Allowance,2016  -  2017,FY2017PRG10111FND213DEP15300ACC501700
2017,22015,22015,21829.94,Protection of Persons and Prop,Police Protection,213,Police,15300,Police Field Operations,10111,Salaries and Benefits,501900,Supp. Law Enforcement COP Fund,Field Area Policing,Other Compensation,2016  -  2017,FY2017PRG10111FND213DEP15300ACC501900
2017,7572,7572,7431.71,Protection of Persons and Prop,Police Protection,213,Police,15300,Police Field Operations,10111,Salaries and Benefits,505100,Supp. Law Enforcement COP Fund,Field Area Policing,Cafeteria Plan,2016  -  2017,FY2017PRG10111FND213DEP15300ACC505100
2017,2195,2195,2970.14,Protection of Persons and Prop,Police Protection,213,Police,15300,Police Field Operations,10111,Salaries and Benefits,505200,Supp. Law Enforcement COP Fund,Field Area Policing,Medicare,2016  -  2017,FY2017PRG10111FND213DEP15300ACC505200
2017,81145,81145,86585.24,Protection of Persons and Prop,Police Protection,213,Police,15300,Police Field Operations,10111,Salaries and Benefits,505300,Supp. Law Enforcement COP Fund,Field Area Policing,Retirement,2016  -  2017,FY2017PRG10111FND213DEP15300ACC505300
2017,142,142,142,Protection of Persons and Prop,Police Protection,213,Police,15300,Police Field Operations,10111,Salaries and Benefits,505800,Supp. Law Enforcement COP Fund,Field Area Policing,Unemployment,2016  -  2017,FY2017PRG10111FND213DEP15300ACC505800
2017,22532,22532,22532,Protection of Persons and Prop,Police Protection,213,Police,15300,Police Field Operations,10111,Salaries and Benefits,505900,Supp. Law Enforcement COP Fund,Field Area Policing,Workers' Compensation,2016  -  2017,FY2017PRG10111FND213DEP15300ACC505900
2017,300000,300000,284970,Protection of Persons and Prop,Police Protection,101,Police,15400,Police Support Services,10112,Maintenance and Operations,530200,General Fund,Helicopter Patrol,Consulting,2016  -  2017,FY2017PRG10112FND101DEP15400ACC530200
2017,1461159,1461159,1201853.21,Protection of Persons and Prop,Police Protection,101,Police,15300,Police Field Operations,10113,Salaries and Benefits,501100,General Fund,Traffic Enforcement,Regular Salaries - Sworn,2016  -  2017,FY2017PRG10113FND101DEP15300ACC501100
2017,109219,109219,178468.56,Protection of Persons and Prop,Police Protection,101,Police,15300,Police Field Operations,10113,Salaries and Benefits,501300,General Fund,Traffic Enforcement,Regular Salaries - Part-Time,2016  -  2017,FY2017PRG10113FND101DEP15300ACC501300
2017,146653,146653,359621.83,Protection of Persons and Prop,Police Protection,101,Police,15300,Police Field Operations,10113,Salaries and Benefits,501400,General Fund,Traffic Enforcement,Overtime,2016  -  2017,FY2017PRG10113FND101DEP15300ACC501400
2017,13000,13000,3937.76,Protection of Persons and Prop,Police Protection,101,Police,15300,Police Field Operations,10113,Salaries and Benefits,501500,General Fund,Traffic Enforcement,Accrual Payoff - Excess Max.,2016  -  2017,FY2017PRG10113FND101DEP15300ACC501500
2017,5500,5500,2687,Protection of Persons and Prop,Police Protection,101,Police,15300,Police Field Operations,10113,Salaries and Benefits,501600,General Fund,Traffic Enforcement,Vacation/Comp. Time Cash Out,2016  -  2017,FY2017PRG10113FND101DEP15300ACC501600
2017,6700,6700,21156.16,Protection of Persons and Prop,Police Protection,101,Police,15300,Police Field Operations,10113,Salaries and Benefits,501700,General Fund,Traffic Enforcement,Holiday Allowance,2016  -  2017,FY2017PRG10113FND101DEP15300ACC501700
2017,167886,167886,153033.42,Protection of Persons and Prop,Police Protection,101,Police,15300,Police Field Operations,10113,Salaries and Benefits,501900,General Fund,Traffic Enforcement,Other Compensation,2016  -  2017,FY2017PRG10113FND101DEP15300ACC501900
2017,106008,106008,88986.4,Protection of Persons and Prop,Police Protection,101,Police,15300,Police Field Operations,10113,Salaries and Benefits,505100,General Fund,Traffic Enforcement,Cafeteria Plan,2016  -  2017,FY2017PRG10113FND101DEP15300ACC505100
2017,23621,23621,29167.09,Protection of Persons and Prop,Police Protection,101,Police,15300,Police Field Operations,10113,Salaries and Benefits,505200,General Fund,Traffic Enforcement,Medicare,2016  -  2017,FY2017PRG10113FND101DEP15300ACC505200
2017,911966,911966,859982.49,Protection of Persons and Prop,Police Protection,101,Police,15300,Police Field Operations,10113,Salaries and Benefits,505300,General Fund,Traffic Enforcement,Retirement,2016  -  2017,FY2017PRG10113FND101DEP15300ACC505300
2017,2700,2700,86,Protection of Persons and Prop,Police Protection,101,Police,15300,Police Field Operations,10113,Salaries and Benefits,505500,General Fund,Traffic Enforcement,Professional Development,2016  -  2017,FY2017PRG10113FND101DEP15300ACC505500
2017,400,400,568.57,Protection of Persons and Prop,Police Protection,101,Police,15300,Police Field Operations,10113,Maintenance and Operations,510100,General Fund,Traffic Enforcement,Stationery and Office,2016  -  2017,FY2017PRG10113FND101DEP15300ACC510100
2017,300,300,406.45,Protection of Persons and Prop,Police Protection,101,Police,15300,Police Field Operations,10113,Maintenance and Operations,510200,General Fund,Traffic Enforcement,"Multi-Media, Promos, Subscrpt.",2016  -  2017,FY2017PRG10113FND101DEP15300ACC510200
2017,1000,1000,209.8,Protection of Persons and Prop,Police Protection,101,Police,15300,Police Field Operations,10113,Maintenance and Operations,510300,General Fund,Traffic Enforcement,Small Tools and Equipment,2016  -  2017,FY2017PRG10113FND101DEP15300ACC510300
2017,28000,28000,16711.27,Protection of Persons and Prop,Police Protection,101,Police,15300,Police Field Operations,10113,Maintenance and Operations,510400,General Fund,Traffic Enforcement,Uniforms and Clothing,2016  -  2017,FY2017PRG10113FND101DEP15300ACC510400
2017,0,0,323.46,Protection of Persons and Prop,Police Protection,101,Police,15300,Police Field Operations,10113,Maintenance and Operations,510500,General Fund,Traffic Enforcement,Safety and Health,2016  -  2017,FY2017PRG10113FND101DEP15300ACC510500
2017,0,0,1056.06,Protection of Persons and Prop,Police Protection,101,Police,15300,Police Field Operations,10113,Maintenance and Operations,520500,General Fund,Traffic Enforcement,Meetings and Conferences,2016  -  2017,FY2017PRG10113FND101DEP15300ACC520500
2017,0,1800,1098,Protection of Persons and Prop,Police Protection,101,Police,15300,Police Field Operations,10113,Maintenance and Operations,525400,General Fund,Traffic Enforcement,Automotive Equipment,2016  -  2017,FY2017PRG10113FND101DEP15300ACC525400
2017,300,300,0,Protection of Persons and Prop,Police Protection,101,Police,15300,Police Field Operations,10113,Maintenance and Operations,525700,General Fund,Traffic Enforcement,Office Equipment,2016  -  2017,FY2017PRG10113FND101DEP15300ACC525700
2017,18660,3660,0,Protection of Persons and Prop,Police Protection,101,Police,15300,Police Field Operations,10113,Maintenance and Operations,530200,General Fund,Traffic Enforcement,Consulting,2016  -  2017,FY2017PRG10113FND101DEP15300ACC530200
2017,88000,88000,54690.1,Protection of Persons and Prop,Police Protection,101,Police,15300,Police Field Operations,10113,Maintenance and Operations,530600,General Fund,Traffic Enforcement,Medical and Health Inspection,2016  -  2017,FY2017PRG10113FND101DEP15300ACC530600
2017,300000,307000,296159.37,Protection of Persons and Prop,Police Protection,101,Police,15300,Police Field Operations,10113,Maintenance and Operations,530700,General Fund,Traffic Enforcement,Law Enforcement,2016  -  2017,FY2017PRG10113FND101DEP15300ACC530700
2017,135745,135745,73612.61,Protection of Persons and Prop,Police Protection,101,Police,15300,Police Field Operations,10113,Maintenance and Operations,536100,General Fund,Traffic Enforcement,Internal Rent - Maintenance,2016  -  2017,FY2017PRG10113FND101DEP15300ACC536100
2017,30588,30588,30588,Protection of Persons and Prop,Police Protection,101,Police,15300,Police Field Operations,10113,Maintenance and Operations,536200,General Fund,Traffic Enforcement,Internal Rent - Fleet,2016  -  2017,FY2017PRG10113FND101DEP15300ACC536200
2017,0,0,70.16,Protection of Persons and Prop,Police Protection,101,Police,15400,Police Support Services,10113,Maintenance and Operations,510500,General Fund,Traffic Enforcement,Safety and Health,2016  -  2017,FY2017PRG10113FND101DEP15400ACC510500
2017,109125,109125,113543.71,Protection of Persons and Prop,Police Protection,101,Police,15300,Police Field Operations,10114,Salaries and Benefits,501100,General Fund,Contract & Special Events,Regular Salaries - Sworn,2016  -  2017,FY2017PRG10114FND101DEP15300ACC501100
2017,0,0,42.96,Protection of Persons and Prop,Police Protection,101,Police,15300,Police Field Operations,10114,Salaries and Benefits,501300,General Fund,Contract & Special Events,Regular Salaries - Part-Time,2016  -  2017,FY2017PRG10114FND101DEP15300ACC501300
2017,295000,295000,267151.37,Protection of Persons and Prop,Police Protection,101,Police,15300,Police Field Operations,10114,Salaries and Benefits,501400,General Fund,Contract & Special Events,Overtime,2016  -  2017,FY2017PRG10114FND101DEP15300ACC501400
2017,2500,2500,145.44,Protection of Persons and Prop,Police Protection,101,Police,15300,Police Field Operations,10114,Salaries and Benefits,501500,General Fund,Contract & Special Events,Accrual Payoff - Excess Max.,2016  -  2017,FY2017PRG10114FND101DEP15300ACC501500
2017,0,0,2520.28,Protection of Persons and Prop,Police Protection,101,Police,15300,Police Field Operations,10114,Salaries and Benefits,501700,General Fund,Contract & Special Events,Holiday Allowance,2016  -  2017,FY2017PRG10114FND101DEP15300ACC501700
2017,25619,25619,26219.78,Protection of Persons and Prop,Police Protection,101,Police,15300,Police Field Operations,10114,Salaries and Benefits,501900,General Fund,Contract & Special Events,Other Compensation,2016  -  2017,FY2017PRG10114FND101DEP15300ACC501900
2017,7572,7572,7431.71,Protection of Persons and Prop,Police Protection,101,Police,15300,Police Field Operations,10114,Salaries and Benefits,505100,General Fund,Contract & Special Events,Cafeteria Plan,2016  -  2017,FY2017PRG10114FND101DEP15300ACC505100
2017,1954,1954,2731.85,Protection of Persons and Prop,Police Protection,101,Police,15300,Police Field Operations,10114,Salaries and Benefits,505200,General Fund,Contract & Special Events,Medicare,2016  -  2017,FY2017PRG10114FND101DEP15300ACC505200
2017,72237,72237,76293.83,Protection of Persons and Prop,Police Protection,101,Police,15300,Police Field Operations,10114,Salaries and Benefits,505300,General Fund,Contract & Special Events,Retirement,2016  -  2017,FY2017PRG10114FND101DEP15300ACC505300
2017,0,0,0,Protection of Persons and Prop,Police Protection,101,Police,15300,Police Field Operations,10120,Salaries and Benefits,505300,General Fund,Crime Investigation,Retirement,2016  -  2017,FY2017PRG10120FND101DEP15300ACC505300
2017,1968824,1968824,1569926.64,Protection of Persons and Prop,Police Protection,101,Police,15400,Police Support Services,10120,Salaries and Benefits,501100,General Fund,Crime Investigation,Regular Salaries - Sworn,2016  -  2017,FY2017PRG10120FND101DEP15400ACC501100
2017,273353,273353,256824.99,Protection of Persons and Prop,Police Protection,101,Police,15400,Police Support Services,10120,Salaries and Benefits,501200,General Fund,Crime Investigation,Regular Salaries - Non-Sworn,2016  -  2017,FY2017PRG10120FND101DEP15400ACC501200
2017,73944,73944,16282.22,Protection of Persons and Prop,Police Protection,101,Police,15400,Police Support Services,10120,Salaries and Benefits,501300,General Fund,Crime Investigation,Regular Salaries - Part-Time,2016  -  2017,FY2017PRG10120FND101DEP15400ACC501300
2017,115000,115000,186730.77,Protection of Persons and Prop,Police Protection,101,Police,15400,Police Support Services,10120,Salaries and Benefits,501400,General Fund,Crime Investigation,Overtime,2016  -  2017,FY2017PRG10120FND101DEP15400ACC501400
2017,35000,35000,9578.29,Protection of Persons and Prop,Police Protection,101,Police,15400,Police Support Services,10120,Salaries and Benefits,501500,General Fund,Crime Investigation,Accrual Payoff - Excess Max.,2016  -  2017,FY2017PRG10120FND101DEP15400ACC501500
2017,5500,5500,31586.76,Protection of Persons and Prop,Police Protection,101,Police,15400,Police Support Services,10120,Salaries and Benefits,501600,General Fund,Crime Investigation,Vacation/Comp. Time Cash Out,2016  -  2017,FY2017PRG10120FND101DEP15400ACC501600
2017,6700,6700,37872.21,Protection of Persons and Prop,Police Protection,101,Police,15400,Police Support Services,10120,Salaries and Benefits,501700,General Fund,Crime Investigation,Holiday Allowance,2016  -  2017,FY2017PRG10120FND101DEP15400ACC501700
2017,0,0,3209.99,Protection of Persons and Prop,Police Protection,101,Police,15400,Police Support Services,10120,Salaries and Benefits,501800,General Fund,Crime Investigation,Separation Pay-Off,2016  -  2017,FY2017PRG10120FND101DEP15400ACC501800
2017,170829,170829,178727.79,Protection of Persons and Prop,Police Protection,101,Police,15400,Police Support Services,10120,Salaries and Benefits,501900,General Fund,Crime Investigation,Other Compensation,2016  -  2017,FY2017PRG10120FND101DEP15400ACC501900
2017,179148,179148,141522.07,Protection of Persons and Prop,Police Protection,101,Police,15400,Police Support Services,10120,Salaries and Benefits,505100,General Fund,Crime Investigation,Cafeteria Plan,2016  -  2017,FY2017PRG10120FND101DEP15400ACC505100
2017,34989,34989,32727.97,Protection of Persons and Prop,Police Protection,101,Police,15400,Police Support Services,10120,Salaries and Benefits,505200,General Fund,Crime Investigation,Medicare,2016  -  2017,FY2017PRG10120FND101DEP15400ACC505200
2017,1253877,1253877,1189664.9,Protection of Persons and Prop,Police Protection,101,Police,15400,Police Support Services,10120,Salaries and Benefits,505300,General Fund,Crime Investigation,Retirement,2016  -  2017,FY2017PRG10120FND101DEP15400ACC505300
2017,12940,12940,4303.66,Protection of Persons and Prop,Police Protection,101,Police,15400,Police Support Services,10120,Salaries and Benefits,505500,General Fund,Crime Investigation,Professional Development,2016  -  2017,FY2017PRG10120FND101DEP15400ACC505500
2017,0,0,823.06,Protection of Persons and Prop,Police Protection,101,Police,15400,Police Support Services,10120,Maintenance and Operations,510100,General Fund,Crime Investigation,Stationery and Office,2016  -  2017,FY2017PRG10120FND101DEP15400ACC510100
2017,0,0,22.45,Protection of Persons and Prop,Police Protection,101,Police,15400,Police Support Services,10120,Maintenance and Operations,540900,General Fund,Crime Investigation,Other Costs,2016  -  2017,FY2017PRG10120FND101DEP15400ACC540900
2017,0,0,6.4,Protection of Persons and Prop,Police Protection,101,Police,15400,Police Support Services,10127,Maintenance and Operations,540900,General Fund,Special Investigation Unit,Other Costs,2016  -  2017,FY2017PRG10127FND101DEP15400ACC540900
2017,0,0,417.47,Protection of Persons and Prop,Police Protection,101,Police,15400,Police Support Services,10131,Maintenance and Operations,540900,General Fund,Records/Information Systems,Other Costs,2016  -  2017,FY2017PRG10131FND101DEP15400ACC540900
2017,0,0,6.16,Protection of Persons and Prop,Police Protection,101,Police,15400,Police Support Services,10132,Maintenance and Operations,540900,General Fund,Crime Scene Invest./Photos,Other Costs,2016  -  2017,FY2017PRG10132FND101DEP15400ACC540900
2017,2433,762,848.97,Community Health & Environment,Beautification,101,Public Services,19200,Engineering,20115,Salaries and Benefits,505200,General Fund,Fairview Park,Medicare,2016  -  2017,FY2017PRG20115FND101DEP19200ACC505200
2017,1000,1000,331.22,Protection of Persons and Prop,Police Protection,101,Police,15400,Police Support Services,10120,Maintenance and Operations,510200,General Fund,Crime Investigation,"Multi-Media, Promos, Subscrpt.",2016  -  2017,FY2017PRG10120FND101DEP15400ACC510200
2017,2500,2500,4697.58,Protection of Persons and Prop,Police Protection,101,Police,15400,Police Support Services,10120,Maintenance and Operations,510300,General Fund,Crime Investigation,Small Tools and Equipment,2016  -  2017,FY2017PRG10120FND101DEP15400ACC510300
2017,13950,14930,11776.27,Protection of Persons and Prop,Police Protection,101,Police,15400,Police Support Services,10120,Maintenance and Operations,510400,General Fund,Crime Investigation,Uniforms and Clothing,2016  -  2017,FY2017PRG10120FND101DEP15400ACC510400
2017,0,0,126.74,Protection of Persons and Prop,Police Protection,101,Police,15400,Police Support Services,10120,Maintenance and Operations,520500,General Fund,Crime Investigation,Meetings and Conferences,2016  -  2017,FY2017PRG10120FND101DEP15400ACC520500
2017,400,400,0,Protection of Persons and Prop,Police Protection,101,Police,15400,Police Support Services,10120,Maintenance and Operations,525700,General Fund,Crime Investigation,Office Equipment,2016  -  2017,FY2017PRG10120FND101DEP15400ACC525700
2017,20500,17500,20800,Protection of Persons and Prop,Police Protection,101,Police,15400,Police Support Services,10120,Maintenance and Operations,530600,General Fund,Crime Investigation,Medical and Health Inspection,2016  -  2017,FY2017PRG10120FND101DEP15400ACC530600
2017,20100,20599,22214.3,Protection of Persons and Prop,Police Protection,101,Police,15400,Police Support Services,10120,Maintenance and Operations,530700,General Fund,Crime Investigation,Law Enforcement,2016  -  2017,FY2017PRG10120FND101DEP15400ACC530700
2017,41934,41934,32928.14,Protection of Persons and Prop,Police Protection,101,Police,15400,Police Support Services,10120,Maintenance and Operations,536100,General Fund,Crime Investigation,Internal Rent - Maintenance,2016  -  2017,FY2017PRG10120FND101DEP15400ACC536100
2017,11619,11619,11619,Protection of Persons and Prop,Police Protection,101,Police,15400,Police Support Services,10120,Maintenance and Operations,536200,General Fund,Crime Investigation,Internal Rent - Fleet,2016  -  2017,FY2017PRG10120FND101DEP15400ACC536200
2017,0,3099,3098.99,Protection of Persons and Prop,Police Protection,101,Police,15400,Police Support Services,10120,Fixed Assets,590800,General Fund,Crime Investigation,Other Equipment,2016  -  2017,FY2017PRG10120FND101DEP15400ACC590800
